accident_severity,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location-restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,1st_point_of_impact,was_vehicle_left_hand_drive?,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),propulsion_code,age_of_vehicle,driver_home_area_type,NUmber_of_Casualities_unique_to_accident_index,No_of_Vehicles_involved_unique_to_accident_index,location_easting_osgr,location_northing_osgr,police_force,number_of_vehicles,number_of_casualties,day_of_week,local_authority_(district),1st_road_class,1st_road_number,road_type,speed_limit,junction_detail,junction_control,2nd_road_class,2nd_road_number,pedestrian_crossing-human_control,pedestrian_crossing-physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
3,3,9,0,18,0,0,0,0,0,0,2,1,6,2,33,6,1398,1,8,1,3,4,261441,671165,97,4,3,4,920,3,803,6,30,0,4,6,0,0,0,1,1,1,0,0,1,1,2,1,2,33,6,3,0,0,0,0,0,9,1,5
3,1,9,0,16,0,0,1,0,1,0,1,1,2,2,31,6,1586,1,8,2,1,1,534621,154903,45,1,1,4,516,3,22,3,50,0,4,6,0,0,0,1,2,2,0,0,2,1,1,1,2,31,6,3,0,0,0,0,0,9,2,4
3,1,9,0,4,0,8,0,0,0,0,2,1,6,1,60,9,2231,2,2,1,3,2,547040,168480,1,2,3,1,19,3,224,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,3,2,2,42,7,3,0,0,1,0,0,9,1,9
2,3,9,0,16,0,0,0,0,0,0,1,1,2,2,27,6,1248,1,5,2,2,3,456095,409384,14,3,2,2,211,3,19,6,60,0,4,6,0,0,0,1,1,2,0,0,2,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,2,5,0,18,0,1,0,0,0,0,4,1,6,1,58,9,899,1,16,1,1,2,535380,193910,1,2,1,4,32,4,137,6,30,3,4,5,0,0,0,4,1,1,0,0,1,1,1,1,1,58,9,3,0,0,0,0,0,5,1,3
3,1,9,0,3,0,0,0,0,0,0,2,1,6,2,28,6,1968,2,11,1,2,2,437476,387138,14,2,2,4,215,6,0,6,20,0,4,6,0,0,0,5,1,1,0,0,1,2,2,2,2,5,1,3,0,0,2,0,0,9,1,2
3,1,9,0,8,0,1,0,0,0,0,2,1,2,2,49,8,1149,1,7,1,1,2,429788,411815,14,2,1,6,210,1,1,7,70,1,4,3,637,0,0,1,1,1,0,0,2,2,1,1,2,49,8,3,0,0,0,0,0,9,1,5
3,1,9,0,9,0,8,0,0,0,0,3,1,6,2,72,10,1769,1,11,1,1,2,527830,184540,1,2,1,3,2,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,2,1,1,2,72,10,3,0,0,0,0,0,9,1,6
3,2,9,0,4,0,1,0,0,0,0,2,1,6,1,21,5,1560,2,5,2,1,2,305063,666708,95,2,1,1,940,6,0,3,30,1,4,6,0,0,1,1,4,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,2,9,0,9,0,8,0,0,0,0,3,1,6,1,37,7,998,1,6,1,1,2,541050,168180,1,2,1,3,19,3,21,6,30,6,2,4,265,0,5,1,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
